Type,Date_Installation,Frequence,Wilaya,Ville
2G,2016-10-13,1800,Tissemsilt,Ville_3_Tiss
3G,2020-03-01,2100,Relizane,Ville_4_Reli
3G,2017-10-06,2100,Blida,Ville_4_Blid
2G,2022-05-07,1800,TiziOuzou,Ville_3_Tizi
2G,2016-03-26,2600,Biskra,Ville_3_Bisk
4G,2018-03-06,2100,Bouaghi,Ville_8_Boua
4G,2018-02-04,800,Ain Defla,Ville_5_Ain 
4G,2018-04-01,1800,Saida,Ville_5_Said
3G,2021-03-26,1800,ElTarf,Ville_5_ElTa
4G,2020-10-07,1800,Bouaghi,Ville_1_Boua
4G,2021-06-23,2100,Blida,Ville_8_Blid
4G,2021-11-15,800,ElBayadh,Ville_6_ElBa
2G,2016-06-25,800,Mascara,Ville_2_Masc
3G,2016-01-08,700,Ain Defla,Ville_7_Ain 
3G,2017-05-25,700,SidiBelAbbes,Ville_4_Sidi
3G,2016-02-09,700,Djelfa,Ville_5_Djel
3G,2021-07-24,800,Ouargla,Ville_7_Ouar
2G,2016-10-05,2100,Mila,Ville_1_Mila
4G,2015-07-24,2600,Laghouat,Ville_4_Lagh
2G,2018-03-03,800,Tamanrasset,Ville_8_Tama
4G,2021-04-18,700,Tamanrasset,Ville_6_Tama
3G,2015-02-11,800,SidiBelAbbes,Ville_3_Sidi
4G,2020-01-24,800,Tamanrasset,Ville_4_Tama
4G,2019-03-02,1800,Biskra,Ville_7_Bisk
2G,2015-11-03,700,SoukAhras ,Ville_1_Souk
4G,2020-02-07,700,AinTemouchent,Ville_5_AinT
3G,2017-08-09,700,Ouargla,Ville_2_Ouar
4G,2016-03-21,1800,Laghouat,Ville_5_Lagh
2G,2016-01-01,700,ElBayadh,Ville_6_ElBa
2G,2019-12-14,1800,Mostaganem,Ville_8_Most
4G,2016-07-13,800,Msila,Ville_7_Msil
2G,2021-03-12,700,SidiBelAbbes,Ville_6_Sidi
4G,2019-11-29,700,Bechar,Ville_4_Bech
4G,2018-04-12,800,Mascara,Ville_3_Masc
4G,2016-08-25,1800,Mila,Ville_1_Mila
4G,2018-02-22,700,Boumerdes,Ville_3_Boum
2G,2021-01-03,1800,SoukAhras ,Ville_4_Souk
3G,2017-06-17,2600,ElTarf,Ville_8_ElTa
3G,2019-10-17,700,Constantine,Ville_1_Cons
4G,2022-05-05,800,SoukAhras ,Ville_4_Souk
4G,2021-07-29,700,Setif,Ville_1_Seti
4G,2017-06-30,800,ElBayadh,Ville_1_ElBa
4G,2019-02-06,2600,Annaba,Ville_1_Anna
4G,2022-04-08,700,Msila,Ville_4_Msil
2G,2016-02-11,2600,Medea,Ville_7_Mede
4G,2015-03-29,2100,Mila,Ville_1_Mila
2G,2015-06-27,1800,Tamanrasset,Ville_6_Tama
4G,2016-10-19,700,Skikda,Ville_4_Skik
4G,2020-05-31,700,ElTarf,Ville_7_ElTa
4G,2020-07-23,2600,AinTemouchent,Ville_6_AinT
2G,2016-07-28,800,Medea,Ville_1_Mede
3G,2018-10-29,2100,Ain Defla,Ville_4_Ain 
3G,2022-05-19,800,Tissemsilt,Ville_2_Tiss
3G,2017-02-04,2100,ElOued,Ville_3_ElOu
2G,2017-07-27,1800,Tamanrasset,Ville_2_Tama
3G,2020-08-13,2100,Jijel,Ville_1_Jije
4G,2014-09-25,2600,Setif,Ville_4_Seti
2G,2020-08-23,1800,Biskra,Ville_5_Bisk
3G,2017-04-18,800,Oran,Ville_7_Oran
2G,2018-06-03,2600,Mila,Ville_3_Mila
3G,2019-11-27,700,Guelma ,Ville_6_Guel
4G,2018-04-03,2600,Bordj Bou Arreridj,Ville_8_Bord
3G,2016-10-09,1800,Relizane,Ville_6_Reli
3G,2016-10-08,2100,Mostaganem,Ville_6_Most
2G,2020-08-23,2600,Bechar,Ville_8_Bech
2G,2017-03-27,2100,Oran,Ville_8_Oran
4G,2021-07-16,2600,Bouaghi,Ville_4_Boua
3G,2020-10-29,2100,Jijel,Ville_6_Jije
4G,2020-12-18,700,Laghouat,Ville_4_Lagh
3G,2018-11-10,700,Tissemsilt,Ville_3_Tiss
4G,2016-04-05,2100,Bejaia,Ville_2_Beja
3G,2022-01-11,2100,Bejaia,Ville_3_Beja
2G,2020-01-18,700,Tiaret,Ville_1_Tiar
2G,2021-03-13,700,ElBayadh,Ville_4_ElBa
4G,2021-04-16,2600,Guelma ,Ville_2_Guel
2G,2020-01-29,1800,Mila,Ville_5_Mila
2G,2019-05-17,800,Tissemsilt,Ville_5_Tiss
2G,2019-02-02,800,AinTemouchent,Ville_8_AinT
2G,2018-09-28,2100,Biskra,Ville_1_Bisk
3G,2015-06-03,1800,Naama,Ville_7_Naam
2G,2021-07-12,1800,Medea,Ville_5_Mede
3G,2020-10-20,2600,Saida,Ville_7_Said
4G,2015-08-24,2100,Illizi,Ville_8_Illi
2G,2022-01-09,800,Mascara,Ville_4_Masc
4G,2019-03-11,800,Batna,Ville_1_Batn
2G,2016-02-21,2100,Ouargla,Ville_5_Ouar
2G,2015-01-21,1800,Djelfa,Ville_3_Djel
2G,2018-05-07,800,Ain Defla,Ville_5_Ain 
3G,2022-06-10,2600,Tiaret,Ville_7_Tiar
2G,2016-10-22,700,Blida,Ville_8_Blid
2G,2020-07-02,1800,Bouaghi,Ville_7_Boua
2G,2020-09-12,2600,Annaba,Ville_5_Anna
2G,2021-03-09,2600,SidiBelAbbes,Ville_8_Sidi
4G,2020-06-20,700,Illizi,Ville_6_Illi
3G,2015-12-27,2600,Tipaza ,Ville_3_Tipa
3G,2020-02-05,2600,Bejaia,Ville_6_Beja
4G,2015-01-10,700,ElBayadh,Ville_6_ElBa
4G,2019-11-10,2100,SidiBelAbbes,Ville_6_Sidi
4G,2017-01-22,700,Ain Defla,Ville_3_Ain 
2G,2020-01-25,1800,Chlef,Ville_8_Chle
3G,2018-08-16,700,TiziOuzou,Ville_1_Tizi
4G,2022-01-02,1800,Bejaia,Ville_5_Beja
2G,2018-05-08,2600,Tipaza ,Ville_3_Tipa
4G,2017-02-28,700,Tindouf,Ville_5_Tind
3G,2020-12-06,2100,Illizi,Ville_5_Illi
3G,2019-06-12,2600,Tipaza ,Ville_7_Tipa
4G,2015-06-24,2600,Ghardaia,Ville_1_Ghar
3G,2019-04-30,2600,SoukAhras ,Ville_4_Souk
4G,2018-08-12,700,Boumerdes,Ville_2_Boum
4G,2016-07-19,700,Guelma ,Ville_6_Guel
2G,2021-11-04,2100,Boumerdes,Ville_6_Boum
4G,2017-02-23,2100,Djelfa,Ville_3_Djel
3G,2017-06-10,800,ElTarf,Ville_3_ElTa
4G,2017-08-31,2600,Mostaganem,Ville_7_Most
2G,2020-01-07,800,Mila,Ville_1_Mila
2G,2022-01-27,2600,Tipaza ,Ville_5_Tipa
2G,2016-10-24,800,Tebessa,Ville_5_Tebe
3G,2022-02-23,1800,Naama,Ville_3_Naam
3G,2019-06-25,1800,Laghouat,Ville_7_Lagh
3G,2018-10-01,2600,Biskra,Ville_4_Bisk
2G,2017-02-05,800,Guelma ,Ville_7_Guel
3G,2020-11-07,2600,Tebessa,Ville_4_Tebe
3G,2017-08-07,700,Boumerdes,Ville_3_Boum
4G,2019-01-20,1800,ElBayadh,Ville_2_ElBa
2G,2017-04-20,2600,Ain Defla,Ville_7_Ain 
4G,2018-02-05,2600,ElTarf,Ville_4_ElTa
4G,2018-06-25,1800,Mostaganem,Ville_6_Most
2G,2017-09-13,700,Boumerdes,Ville_5_Boum
4G,2019-10-06,2100,TiziOuzou,Ville_4_Tizi
2G,2017-06-17,1800,SoukAhras ,Ville_8_Souk
4G,2015-07-08,800,Bechar,Ville_3_Bech
4G,2021-06-05,2100,Medea,Ville_5_Mede
4G,2019-05-17,2600,Khenchela,Ville_5_Khen
4G,2016-07-31,2100,Mila,Ville_8_Mila
4G,2019-12-06,2600,Mostaganem,Ville_4_Most
3G,2017-10-20,800,Bejaia,Ville_7_Beja
4G,2021-07-14,700,Guelma ,Ville_2_Guel
3G,2021-09-16,2100,AinTemouchent,Ville_3_AinT
4G,2019-11-04,2100,SidiBelAbbes,Ville_5_Sidi
4G,2016-04-23,800,Ghardaia,Ville_2_Ghar
2G,2019-10-27,2600,SidiBelAbbes,Ville_2_Sidi
3G,2019-11-30,800,Ain Defla,Ville_4_Ain 
3G,2015-07-26,2100,Laghouat,Ville_8_Lagh
3G,2022-04-29,1800,Jijel,Ville_5_Jije
2G,2016-08-10,800,Bejaia,Ville_2_Beja
4G,2017-09-22,1800,Chlef,Ville_6_Chle
3G,2016-07-24,700,Bejaia,Ville_7_Beja
3G,2014-09-17,2600,Tissemsilt,Ville_2_Tiss
4G,2016-01-27,800,Constantine,Ville_1_Cons
2G,2017-12-19,1800,Tissemsilt,Ville_6_Tiss
2G,2017-05-31,1800,Biskra,Ville_2_Bisk
2G,2019-04-08,2600,Ain Defla,Ville_6_Ain 
3G,2021-08-02,2600,Relizane,Ville_2_Reli
2G,2019-08-02,1800,Setif,Ville_5_Seti
2G,2016-11-14,800,Bouaghi,Ville_2_Boua
4G,2015-01-10,800,Saida,Ville_8_Said
4G,2022-03-27,2600,Illizi,Ville_6_Illi
4G,2019-09-15,2100,SidiBelAbbes,Ville_1_Sidi
3G,2018-11-15,1800,Boumerdes,Ville_6_Boum
3G,2016-07-08,1800,Bouaghi,Ville_1_Boua
4G,2019-09-02,700,TiziOuzou,Ville_8_Tizi
4G,2020-10-22,2600,Jijel,Ville_6_Jije
4G,2020-11-05,800,Bejaia,Ville_5_Beja
2G,2017-04-07,800,Tindouf,Ville_4_Tind
3G,2017-03-26,1800,Bechar,Ville_1_Bech
3G,2020-02-04,700,TiziOuzou,Ville_4_Tizi
4G,2018-11-07,700,Illizi,Ville_1_Illi
2G,2019-01-02,2600,Tindouf,Ville_1_Tind
3G,2015-12-09,700,Mostaganem,Ville_4_Most
3G,2021-09-13,2100,Bordj Bou Arreridj,Ville_8_Bord
4G,2020-05-28,2600,Chlef,Ville_4_Chle
2G,2016-10-07,2600,Bouira,Ville_3_Boui
3G,2018-01-17,700,Saida,Ville_5_Said
2G,2022-06-28,1800,Mascara,Ville_1_Masc
3G,2022-09-02,2600,Blida,Ville_1_Blid
4G,2014-10-27,800,Blida,Ville_4_Blid
3G,2016-08-23,700,Bechar,Ville_5_Bech
2G,2016-02-03,800,Jijel,Ville_4_Jije
3G,2014-12-14,700,Tipaza ,Ville_6_Tipa
3G,2019-03-10,2600,Saida,Ville_8_Said
4G,2022-09-05,1800,Chlef,Ville_6_Chle
4G,2020-11-06,700,SoukAhras ,Ville_1_Souk
3G,2018-05-01,800,Bejaia,Ville_2_Beja
2G,2019-02-25,800,Alger,Ville_1_Alge
2G,2022-09-03,2100,Ghardaia,Ville_6_Ghar
2G,2016-09-12,2100,Boumerdes,Ville_4_Boum
2G,2019-11-20,700,Biskra,Ville_8_Bisk
4G,2021-11-01,1800,Guelma ,Ville_6_Guel
2G,2022-07-31,700,TiziOuzou,Ville_1_Tizi
3G,2014-10-30,2600,TiziOuzou,Ville_7_Tizi
4G,2017-08-21,1800,Bechar,Ville_6_Bech
2G,2020-05-02,1800,Mila,Ville_2_Mila
4G,2018-10-05,1800,Blida,Ville_6_Blid
4G,2015-10-05,2100,Guelma ,Ville_8_Guel
3G,2020-10-30,2100,SidiBelAbbes,Ville_8_Sidi
3G,2017-03-20,700,Setif,Ville_5_Seti
2G,2016-04-12,2600,Guelma ,Ville_1_Guel
4G,2016-10-24,1800,Blida,Ville_2_Blid
2G,2016-01-20,700,Tlemcen,Ville_6_Tlem
3G,2022-03-28,1800,ElBayadh,Ville_2_ElBa
2G,2021-07-29,700,Bechar,Ville_2_Bech
4G,2015-02-15,700,ElTarf,Ville_8_ElTa
3G,2016-08-15,1800,Tlemcen,Ville_6_Tlem
4G,2019-05-03,2600,Laghouat,Ville_5_Lagh
2G,2017-11-17,2100,SidiBelAbbes,Ville_2_Sidi
2G,2016-08-09,700,Tissemsilt,Ville_1_Tiss
4G,2019-08-09,2600,Medea,Ville_7_Mede
2G,2019-11-09,1800,Setif,Ville_4_Seti
3G,2015-11-12,1800,Mascara,Ville_3_Masc
4G,2019-09-24,2600,Relizane,Ville_6_Reli
2G,2019-08-27,2600,Batna,Ville_3_Batn
3G,2022-03-05,700,Illizi,Ville_3_Illi
3G,2018-04-19,2100,Ouargla,Ville_3_Ouar
3G,2020-03-25,2600,Chlef,Ville_3_Chle
2G,2018-04-04,800,Mascara,Ville_2_Masc
3G,2021-11-27,2100,Ouargla,Ville_8_Ouar
3G,2020-06-22,700,ElTarf,Ville_4_ElTa
4G,2015-04-27,2600,Bejaia,Ville_6_Beja
3G,2021-02-01,2100,AinTemouchent,Ville_2_AinT
3G,2018-01-18,700,Tlemcen,Ville_3_Tlem
4G,2020-07-04,700,Illizi,Ville_5_Illi
3G,2021-05-11,2600,Tamanrasset,Ville_7_Tama
3G,2018-10-07,800,Setif,Ville_8_Seti
4G,2015-03-13,1800,Mascara,Ville_4_Masc
2G,2022-09-12,1800,Khenchela,Ville_4_Khen
4G,2017-11-22,700,Tamanrasset,Ville_3_Tama
3G,2014-12-15,1800,Blida,Ville_2_Blid
2G,2021-08-20,2100,Tamanrasset,Ville_4_Tama
4G,2015-12-08,2600,Mostaganem,Ville_7_Most
2G,2015-04-15,800,Illizi,Ville_8_Illi
4G,2022-08-21,1800,Illizi,Ville_3_Illi
4G,2019-11-01,1800,Tiaret,Ville_5_Tiar
4G,2015-07-10,1800,Tiaret,Ville_5_Tiar
4G,2020-12-30,700,Skikda,Ville_3_Skik
3G,2019-05-20,700,Relizane,Ville_7_Reli
3G,2021-07-21,2100,Mila,Ville_2_Mila
4G,2022-03-22,700,Annaba,Ville_5_Anna
2G,2018-05-09,700,SoukAhras ,Ville_6_Souk
4G,2018-07-10,1800,Batna,Ville_1_Batn
4G,2018-02-27,2600,Bejaia,Ville_3_Beja
2G,2017-02-02,2100,Mascara,Ville_5_Masc
4G,2015-03-07,1800,Skikda,Ville_8_Skik
2G,2017-08-30,1800,Bordj Bou Arreridj,Ville_7_Bord
3G,2022-03-27,2100,Djelfa,Ville_8_Djel
4G,2021-09-26,2600,Tissemsilt,Ville_5_Tiss
3G,2015-06-13,1800,Ain Defla,Ville_1_Ain 
2G,2021-02-09,700,SidiBelAbbes,Ville_4_Sidi
2G,2022-02-22,700,Ghardaia,Ville_4_Ghar
3G,2017-09-03,2600,AinTemouchent,Ville_5_AinT
3G,2020-12-06,1800,AinTemouchent,Ville_4_AinT
4G,2020-05-15,2100,Tamanrasset,Ville_2_Tama
4G,2016-11-09,800,Jijel,Ville_6_Jije
4G,2014-09-15,800,Tlemcen,Ville_1_Tlem
4G,2016-12-21,2600,Boumerdes,Ville_8_Boum
4G,2016-03-25,700,Relizane,Ville_6_Reli
2G,2017-02-28,2600,Relizane,Ville_2_Reli
4G,2020-07-22,800,Saida,Ville_1_Said
3G,2018-10-27,700,Alger,Ville_8_Alge
3G,2018-09-20,2100,Saida,Ville_5_Said
4G,2019-10-21,2600,Biskra,Ville_4_Bisk
3G,2017-05-18,800,Jijel,Ville_8_Jije
4G,2020-10-04,800,Jijel,Ville_6_Jije
3G,2016-05-01,700,Jijel,Ville_4_Jije
2G,2022-07-22,2600,Chlef,Ville_4_Chle
4G,2016-08-12,800,Batna,Ville_4_Batn
4G,2021-01-17,2600,ElBayadh,Ville_5_ElBa
2G,2021-12-07,800,Tindouf,Ville_1_Tind
2G,2018-02-02,700,ElTarf,Ville_3_ElTa
4G,2015-05-12,700,Bouaghi,Ville_5_Boua
4G,2019-05-08,700,Skikda,Ville_4_Skik
4G,2019-09-14,2100,Skikda,Ville_2_Skik
3G,2020-05-07,1800,Mila,Ville_7_Mila
